"Time (s) Run #1","Position, Ch1&2 (m) Run #1","Velocity, Ch1&2 (m/s) Run #1","Acceleration, Ch1&2 (m/s²) Run #1"
29.70,0.65,-0.20,0.00
29.80,0.63,-0.20,0.00
29.90,0.61,-0.20,4.96E-4
30.00,0.59,-0.20,-4.72E-4
30.10,0.57,-0.20,-9.58E-4
30.20,0.55,-0.20,-9.60E-4
30.30,0.53,-0.20,-9.48E-4
30.40,0.51,-0.20,0.00
30.50,0.49,-0.20,0.00
30.60,0.47,-0.20,0.00
30.70,0.45,-0.20,0.00
30.80,0.43,-0.20,-9.60E-4
30.90,0.41,-0.20,-9.63E-4
31.00,0.39,-0.20,-5.15E-4
31.10,0.37,-0.20,0.00
31.20,0.35,-0.20,0.02
31.30,0.33,-0.20,0.04
31.40,0.31,-0.19,0.05
31.50,0.29,-0.19,0.04
31.60,0.27,-0.18,0.01
31.70,0.25,-0.18,0.06
31.80,0.23,-0.19,0.31
31.90,0.21,-0.14,0.72
32.00,0.19,-0.03,0.98
32.10,0.20,0.09,0.86
32.20,0.22,0.16,0.49
32.30,0.24,0.18,0.15
32.40,0.26,0.17,4.52E-4
32.50,0.27,0.17,0.00
32.60,0.29,0.17,0.03
32.70,0.31,0.18,0.04
32.80,0.33,0.18,0.03
32.90,0.34,0.18,0.02
33.00,0.36,0.18,0.01
33.10,0.38,0.18,0.00
33.20,0.40,0.18,0.00
33.30,0.42,0.18,0.00
33.40,0.44,0.19,0.01
33.50,0.45,0.19,0.01
33.60,0.47,0.19,0.01
33.70,0.49,0.19,0.00
33.80,0.51,0.19,0.00
33.90,0.53,0.19,0.01
34.00,0.55,0.19,0.01
34.10,0.57,0.19,0.01
34.20,0.59,0.19,0.00
34.30,0.61,0.19,0.00
34.40,0.62,0.19,0.00
34.50,0.64,0.19,0.00
34.60,0.66,0.19,0.00
34.70,0.68,0.19,-4.81E-4
34.80,0.70,0.19,-4.98E-4
34.90,0.72,0.19,4.70E-4
35.00,0.74,0.19,9.78E-4
35.10,0.76,0.19,4.37E-5
35.20,0.78,0.19,0.00
35.30,0.80,0.19,0.00
35.40,0.82,0.19,0.00
35.50,0.83,0.19,0.00
35.60,0.85,0.19,0.01
35.70,0.87,0.19,0.01
35.80,0.89,0.19,0.01
35.90,0.91,0.19,0.01
36.00,0.93,0.20,0.01
36.10,0.95,0.20,0.01
36.20,0.97,0.20,0.02
36.30,0.99,0.20,0.01
36.40,1.01,0.20,-0.01
36.50,1.03,0.20,-0.02
36.60,1.05,0.19,-0.01
36.70,1.07,0.19,-0.01
36.80,1.09,0.19,0.00
36.90,1.11,0.19,0.00
37.00,1.13,0.19,-5.43E-4
37.10,1.15,0.19,0.00
37.20,1.17,0.19,0.00
37.30,1.19,0.20,0.01
37.40,1.21,0.20,0.01
37.50,1.23,0.20,-7.00E-4
37.60,1.24,0.20,-0.01
37.70,1.26,0.20,-0.01
37.80,1.28,0.19,4.50E-4
37.90,1.30,0.19,0.01
38.00,1.32,0.20,0.02
38.10,1.34,0.20,0.02
38.20,1.36,0.20,0.01
38.30,1.38,0.20,0.01
38.40,1.40,0.20,0.00
38.50,1.42,0.20,0.01
38.60,1.44,0.20,0.01
38.70,1.46,0.21,0.02
38.80,1.49,0.21,0.02
38.90,1.51,0.21,0.01
39.00,1.53,0.21,0.01
39.10,1.55,0.21,0.01
39.20,1.57,0.21,0.01
39.30,1.59,0.21,0.02
39.40,1.61,0.22,0.01
39.50,1.63,0.22,4.87E-4
39.60,1.66,0.22,0.00
39.70,1.68,0.22,0.02
39.80,1.70,0.22,0.02
39.90,1.72,0.22,0.00
40.00,1.74,0.22,-0.02
40.10,1.76,0.22,-0.04
40.20,1.79,0.21,-0.05
40.30,1.81,0.21,-0.06
40.40,1.83,0.20,-0.05
40.50,1.85,0.20,-0.02
40.60,1.87,0.20,4.43E-4
40.70,1.89,0.20,-0.01
40.80,1.91,0.20,-0.03
40.90,1.93,0.19,-0.13
41.00,1.95,0.19,-0.41
41.10,1.97,0.13,-0.78
41.20,1.98,0.02,-0.96
41.30,1.97,-0.10,-0.78
41.40,1.95,-0.16,-0.41
41.50,1.93,-0.16,-0.12
41.60,1.92,-0.16,-0.04
41.70,1.90,-0.17,-0.05
41.80,1.88,-0.18,-0.05
41.90,1.87,-0.18,-0.03
42.00,1.85,-0.18,0.00
42.10,1.83,-0.18,0.06
42.20,1.81,-0.17,0.07
42.30,1.80,-0.16,0.02
42.40,1.78,-0.16,-0.06
42.50,1.76,-0.18,-0.09
42.60,1.74,-0.19,-0.05
42.70,1.73,-0.19,0.00
42.80,1.71,-0.19,0.02
42.90,1.69,-0.18,0.01
43.00,1.67,-0.18,0.01
43.10,1.65,-0.18,-0.01
43.20,1.63,-0.18,-0.02
43.30,1.61,-0.19,-0.02
43.40,1.60,-0.19,0.00
43.50,1.58,-0.19,0.01
43.60,1.56,-0.19,0.01
43.70,1.54,-0.19,0.00
43.80,1.52,-0.19,-0.01
43.90,1.50,-0.19,-0.01
44.00,1.48,-0.19,0.00
44.10,1.46,-0.19,0.01
44.20,1.45,-0.19,0.00
44.30,1.43,-0.19,-0.01
44.40,1.41,-0.19,-0.01
44.50,1.39,-0.19,0.01
44.60,1.37,-0.19,0.03
44.70,1.35,-0.18,0.03
44.80,1.33,-0.18,0.01
44.90,1.32,-0.18,0.00
45.00,1.30,-0.18,-0.01
45.10,1.28,-0.18,-0.01
45.20,1.26,-0.18,-0.01
45.30,1.24,-0.18,0.00
45.40,1.23,-0.18,0.00
45.50,1.21,-0.19,0.00
45.60,1.19,-0.19,0.00
45.70,1.17,-0.19,0.00
45.80,1.15,-0.19,-0.01
45.90,1.13,-0.19,-0.01
46.00,1.11,-0.19,-0.01
46.10,1.09,-0.19,0.00
46.20,1.08,-0.19,0.00
46.30,1.06,-0.19,-0.01
46.40,1.04,-0.19,-0.02
46.50,1.02,-0.19,-0.02
46.60,1.00,-0.19,-0.01
46.70,0.98,-0.19,0.01
46.80,0.96,-0.19,0.02
46.90,0.94,-0.19,0.01
47.00,0.92,-0.19,0.01
47.10,0.90,-0.19,0.00
47.20,0.89,-0.19,0.01
47.30,0.87,-0.19,0.01
47.40,0.85,-0.19,0.01
47.50,0.83,-0.19,-2.79E-4
47.60,0.81,-0.19,-0.01
47.70,0.79,-0.19,-0.01
47.80,0.77,-0.19,0.00
47.90,0.75,-0.19,0.01
48.00,0.74,-0.19,0.01
48.10,0.72,-0.18,0.01
48.20,0.70,-0.18,0.01
48.30,0.68,-0.18,0.01
48.40,0.66,-0.18,0.01
48.50,0.64,-0.18,0.01
48.60,0.63,-0.18,0.01
48.70,0.61,-0.18,0.01
48.80,0.59,-0.18,0.01
48.90,0.57,-0.18,0.01
49.00,0.55,-0.17,0.02
49.10,0.54,-0.17,0.02
49.20,0.52,-0.17,0.02
49.30,0.50,-0.17,0.02
49.40,0.49,-0.17,0.02
49.50,0.47,-0.16,0.02
49.60,0.45,-0.16,0.02
49.70,0.44,-0.16,0.02
49.80,0.42,-0.16,0.02
49.90,0.41,-0.15,0.03
50.00,0.39,-0.15,0.03
50.10,0.38,-0.15,0.03
50.20,0.36,-0.14,0.04
50.30,0.35,-0.14,0.04
50.40,0.33,-0.14,0.05
50.50,0.32,-0.13,0.06
50.60,0.31,-0.13,0.07
50.70,0.29,-0.12,0.07
50.80,0.28,-0.11,0.05
50.90,0.27,-0.11,0.03
51.00,0.26,-0.10,0.02
51.10,0.25,-0.10,0.04
51.20,0.24,-0.10,0.04
51.30,0.23,-0.09,0.03
51.40,0.22,-0.09,0.05
